model_name,model_file,valid_predictions_count,invalid_predictions_count,total_recipes,MAE,accuracy_percent,recipe_type,reasoning_level,failed_recipes
gpt_4_1,gpt_4_1.jsonl,9,0,9,0.10166666666666667,11.11111111111111,anytime_meals,none,
gpt_4_1,gpt_4_1.jsonl,4,0,4,0.04875,0.0,breakfast,none,
gpt_4_1,gpt_4_1.jsonl,4,0,4,0.027,0.0,desserts,none,
gpt_4_1,gpt_4_1.jsonl,5,0,5,0.17200000000000001,0.0,snacks,none,
gpt_4_1_mini,gpt_4_1_mini.jsonl,9,0,9,0.1471111111111111,11.11111111111111,anytime_meals,none,
gpt_4_1_mini,gpt_4_1_mini.jsonl,4,0,4,0.08074999999999999,0.0,breakfast,none,
gpt_4_1_mini,gpt_4_1_mini.jsonl,4,0,4,0.05075,0.0,desserts,none,
gpt_4_1_mini,gpt_4_1_mini.jsonl,5,0,5,0.227,0.0,snacks,none,
gpt_4_1_nano,gpt_4_1_nano.jsonl,9,0,9,0.1391111111111111,11.11111111111111,anytime_meals,none,
gpt_4_1_nano,gpt_4_1_nano.jsonl,4,0,4,0.08675000000000001,0.0,breakfast,none,
gpt_4_1_nano,gpt_4_1_nano.jsonl,4,0,4,0.030125000000000002,0.0,desserts,none,
gpt_4_1_nano,gpt_4_1_nano.jsonl,5,0,5,0.264,0.0,snacks,none,
gpt_4o,gpt_4o.jsonl,9,0,9,0.15344444444444444,33.33333333333333,anytime_meals,none,
gpt_4o,gpt_4o.jsonl,4,0,4,0.13269999999999998,25.0,breakfast,none,
gpt_4o,gpt_4o.jsonl,4,0,4,0.0181375,25.0,desserts,none,
gpt_4o,gpt_4o.jsonl,5,0,5,0.141,0.0,snacks,none,
gpt_4o_mini,gpt_4o_mini.jsonl,9,0,9,0.13944444444444443,0.0,anytime_meals,none,
gpt_4o_mini,gpt_4o_mini.jsonl,4,0,4,0.081125,0.0,breakfast,none,
gpt_4o_mini,gpt_4o_mini.jsonl,4,0,4,0.10837499999999999,0.0,desserts,none,
gpt_4o_mini,gpt_4o_mini.jsonl,5,0,5,0.14999999999999997,0.0,snacks,none,
gpt_5_4__reasoning_high,gpt_5_4__reasoning_high.jsonl,9,0,9,0.09444444444444444,11.11111111111111,anytime_meals,high,
gpt_5_4__reasoning_high,gpt_5_4__reasoning_high.jsonl,4,0,4,0.02075,25.0,breakfast,high,
