model_name,model_file,valid_predictions_count,invalid_predictions_count,total_recipes,MAE,accuracy_percent,recipe_type,reasoning_level,failed_recipes
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.07764027272727272,18.181818181818183,anytime_meals,medium,
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.06957366665999999,20.0,breakfast,medium,
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.024432199999999998,40.0,desserts,medium,
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.09780799999999998,20.0,snacks,medium,
cot__gpt_5_4_mini__reasoning_medium,cot__gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.12210000000000001,27.27272727272727,anytime_meals,medium,
cot__gpt_5_4_mini__reasoning_medium,cot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.14318,0.0,breakfast,medium,
cot__gpt_5_4_mini__reasoning_medium,cot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.045849999999999995,20.0,desserts,medium,
cot__gpt_5_4_mini__reasoning_medium,cot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.142096,20.0,snacks,medium,
few_shot__gpt_5_4_mini__reasoning_medium,few_shot__gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.11790395454545455,9.090909090909092,anytime_meals,medium,
few_shot__gpt_5_4_mini__reasoning_medium,few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.12185113334,0.0,breakfast,medium,
few_shot__gpt_5_4_mini__reasoning_medium,few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.03087443334,20.0,desserts,medium,
few_shot__gpt_5_4_mini__reasoning_medium,few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.15816599999999997,20.0,snacks,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.11227272727272729,27.27272727272727,anytime_meals,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.11400000000000002,0.0,breakfast,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.0342,20.0,desserts,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.158,0.0,snacks,medium,
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.06927272727272728,36.36363636363637,anytime_meals,medium,
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.08940000000000001,20.0,breakfast,medium,
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.0368,20.0,desserts,medium,
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.152,40.0,snacks,medium,
