cluster_id,failure_mode_label,failure_mode_description,cluster_size,avg_absolute_error,median_absolute_error,avg_relative_error_percent,median_relative_error_percent,avg_signed_error,overestimate_rate_percent,underestimate_rate_percent,best_performing_model,worst_performing_model,model_diversity,top_models,recipe_type_distribution
-1,systematic ingredient copper content overestimation,"The shared failure mode is a consistent overestimation of copper content in ingredients, often due to using high or imprecise copper values from nutritional databases without accounting for variability or negligible amounts. This leads to inflated total copper estimates and high relative errors, as reflected by the high overestimate rate and positive signed error in the cluster statistics.",137,0.10543088235294118,0.06,134.57410853048762,58.333333333333336,0.09694772727272727,78.78787878787878,18.181818181818183,"gpt_5_5__reasoning_medium (MAE=0.0550, n=2)","gpt_5_4_nano__reasoning_low (MAE=0.2200, n=1)",18,gpt_4o:22; gpt_4_1_mini:20; gpt_4o_mini:19; gpt_4_1:16; gpt_4_1_nano:13,anytime_meals:86; desserts:26; breakfast:19; snacks:6
0,systematic overestimation of copper content,"The shared failure mode is a consistent overestimation bias in copper content calculations, where ingredient copper values are cumulatively summed without sufficient adjustment for variability or uncertainty, leading to inflated total copper estimates. This pattern reflects a reasoning flaw in handling ingredient-level copper data, causing all samples to overpredict copper amounts.",11,0.10727272727272727,0.06999999999999998,116.9843228666758,50.000000000000014,0.10727272727272727,100.0,0.0,"gpt_4_1_nano (MAE=0.0500, n=1)","gpt_4_1_mini (MAE=0.2050, n=1)",3,gpt_4_1:9; gpt_4_1_mini:1; gpt_4_1_nano:1,breakfast:4; anytime_meals:4; desserts:2; snacks:1
1,systematic overestimation due to ingredient copper content inflation,"The shared failure mode is a consistent overestimation of copper content caused by inflating or inaccurately summing the copper values of individual ingredients, often without accounting for realistic serving sizes or bioavailability. This leads to high relative errors and a strong bias toward overestimation across samples.",32,0.1396875,0.095,104.48647869473875,52.55754475703324,0.10531249999999999,84.375,15.625,"gpt_5_4_mini__reasoning_medium (MAE=0.0600, n=3)","gpt_4_1_nano (MAE=0.3550, n=2)",10,gpt_4o_mini:7; gpt_4_1_mini:5; gpt_4o:5; gpt_5_4__reasoning_medium:4; gpt_5_4__reasoning_low:3,snacks:27; breakfast:3; desserts:2
2,systematic ingredient quantity misestimation,"The shared failure mode involves consistent errors in estimating ingredient quantities or copper content, leading to proportional copper-estimation errors. This often results from miscalculations or incorrect assumptions about ingredient copper values or serving sizes, causing large relative errors in some cases.",17,0.019999999999999997,0.0,15.202148971043524,0.0,0.0,0.0,0.0,"gpt_5_4_pro__reasoning_high (MAE=0.0000, n=4)","gpt_5_4_nano__reasoning_medium (MAE=0.0850, n=4)",7,gpt_5_4_nano__reasoning_medium:4; gpt_5_4_pro__reasoning_high:4; gpt_5_4_mini__reasoning_medium:3; gpt_5_4__reasoning_medium:2; gpt_5_4_mini__reasoning_low:2,breakfast:8; anytime_meals:5; desserts:4
3,systematic underestimation bias,"The shared failure mode is a consistent underestimation of copper content across all samples, as indicated by a 100% underestimate rate and negative average signed error. This suggests a reasoning pattern where the models systematically undervalue copper amounts, possibly due to conservative assumptions or incomplete ingredient copper data.",10,0.026000000000000006,0.020000000000000007,24.395604395604398,25.000000000000007,-0.026000000000000006,0.0,100.0,"gpt_5_4_mini__reasoning_high (MAE=0.0150, n=2)","gpt_5_4_mini__reasoning_medium (MAE=0.0600, n=1)",6,gpt_5_4__reasoning_high:3; gpt_5_4__reasoning_low:2; gpt_5_4_mini__reasoning_high:2; gpt_5_4__reasoning_medium:1; gpt_5_4_mini__reasoning_medium:1,anytime_meals:7; desserts:3
4,systematic underestimation bias,"All models consistently underestimate copper content in snack recipes, leading to a 100% underestimate rate and a negative average signed error. This suggests a shared reasoning pattern where copper values are systematically estimated lower than actual, possibly due to conservative assumptions or incomplete ingredient copper data.",12,0.09833333333333334,0.11000000000000001,46.01449275362319,47.82608695652174,-0.09833333333333334,0.0,100.0,"gpt_5_5__reasoning_low (MAE=0.0700, n=2)","gpt_5_4__reasoning_high (MAE=0.1400, n=1)",9,gpt_5_4_nano__reasoning_low:2; gpt_5_4_nano__reasoning_medium:2; gpt_5_5__reasoning_low:2; gpt_5_4__reasoning_high:1; gpt_5_4_mini__reasoning_low:1,snacks:12
5,systematic underestimation bias,"The shared failure mode is a consistent underestimation of copper content across samples, as indicated by a 100% underestimate rate and negative average signed error. This suggests a reasoning pattern where the models systematically undervalue copper quantities, possibly due to conservative assumptions or incomplete ingredient copper data.",16,0.014375000000000006,0.012500000000000004,13.830882352941181,11.764705882352951,-0.014375000000000006,0.0,100.0,"gpt_5_4_nano__reasoning_high (MAE=0.0050, n=1)","gpt_5_4_nano__reasoning_medium (MAE=0.0300, n=1)",13,gpt_5_4__reasoning_high:3; gpt_5_4_mini__reasoning_high:2; gpt_4_1_mini:1; gpt_5_4__reasoning_low:1; gpt_5_4__reasoning_medium:1,desserts:12; breakfast:4
6,systematic underestimation bias,"The shared failure mode is a consistent underestimation of copper content across all samples, as indicated by a 100% underestimate rate and negative average signed error. This suggests a reasoning pattern where the models systematically undervalue copper quantities, possibly due to conservative assumptions or incomplete ingredient copper data.",16,0.014374999999999999,0.010000000000000009,14.725666329284747,16.228070175438592,-0.014374999999999999,0.0,100.0,"gpt_5_5__reasoning_high (MAE=0.0060, n=2)","gpt_5_4_mini__reasoning_low (MAE=0.0250, n=2)",9,gpt_5_4_mini__reasoning_medium:3; gpt_5_4__reasoning_medium:2; gpt_5_4_mini__reasoning_low:2; gpt_5_5__reasoning_high:2; gpt_5_5__reasoning_low:2,anytime_meals:9; breakfast:7
7,systematic underestimation bias,"All models consistently underestimate the total copper content in the recipes, resulting in 100% underestimation rate and negative signed errors. This failure mode suggests a shared reasoning pattern where copper values are systematically undervalued, possibly due to conservative assumptions or incomplete ingredient copper aggregation.",10,0.039900000000000005,0.04250000000000001,39.9,42.5,-0.039900000000000005,0.0,100.0,"gpt_5_4_mini__reasoning_low (MAE=0.0200, n=1)","gpt_5_5__reasoning_low (MAE=0.0500, n=1)",10,gpt_5_4__reasoning_high:1; gpt_5_4__reasoning_medium:1; gpt_5_4_mini__reasoning_low:1; gpt_5_4_nano__reasoning_high:1; gpt_5_4_nano__reasoning_low:1,anytime_meals:10
8,systematic underestimation of total copper content,"All samples consistently underestimate the total copper content in the recipes, leading to 100% underestimation rate and negative signed errors. This failure mode suggests a shared reasoning pattern where the models undervalue copper contributions from ingredients or miscalculate cumulative copper, causing a bias toward lower copper estimates.",11,0.016727272727272726,0.018999999999999996,27.433155080213904,31.66666666666666,-0.016727272727272726,0.0,100.0,"gpt_5_5__reasoning_low (MAE=0.0100, n=1)","gpt_5_4_nano__reasoning_high (MAE=0.0250, n=1)",10,gpt_5_4_mini__reasoning_low:2; gpt_4_1_nano:1; gpt_5_4__reasoning_medium:1; gpt_5_4_mini__reasoning_medium:1; gpt_5_4_nano__reasoning_high:1,desserts:10; breakfast:1
